1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.410933,0.39483,3.22378,0.338012,0.40643,1.49396,0.493247,-0.125391,-0.36427,1.12024,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.410933,0.39483,-2.50168,0.338012,0.330743,-0.416294,0.493247,0.112535,0.779947,1.42247,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.410933,0.39483,-1.1583,0.338012,0.74171,0.941366,0.493247,1.12709,-0.0490878,0.961765,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2,0.410933,0.39483,0.637205,0.338012,2.18092,2.28289,0.493247,2.11026,0.542055,1.10946,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
2,0.410933,0.39483,1.74978,0.338012,1.34671,2.46181,0.493247,1.45197,-0.31531,-0.0953508,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
2,0.410933,0.39483,3.4129,0.338012,1.37541,2.17323,0.493247,1.42742,0.188008,0.669802,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
3,0.410933,0.39483,-1.72799,0.338012,0.519962,0.284628,0.493247,-0.570612,-0.323785,-0.41892,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0.410933,0.39483,-0.644556,0.338012,-0.00396261,0.810891,0.493247,-0.986521,-0.538827,0.00572037,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0.410933,0.39483,-1.1519,0.338012,-0.00368801,0.300969,0.493247,-1.41105,-0.468906,0.301558,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0.410933,0.39483,-0.875947,0.338012,0.965427,1.89435,0.493247,0.0170946,1.76937,0.703147,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
4,0.410933,0.39483,-1.09291,0.338012,2.14627,2.23894,0.493247,0.790758,3.58058,0.449637,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
4,0.410933,0.39483,-1.21545,0.338012,2.30475,1.53966,0.493247,1.22476,3.89454,0.218981,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
5,0.410933,0.39483,-0.28376,0.338012,0.29978,0.444429,0.493247,-0.943913,0.0922714,-0.257487,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.410933,0.39483,-0.0634723,0.338012,-0.43969,-0.0686456,0.493247,-0.622837,0.254162,0.776314,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,0.410933,0.39483,-0.525441,0.338012,-0.0131235,-0.0758604,0.493247,-0.391211,0.173861,0.482653,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,0.410933,0.39483,0.263136,0.338012,0.694583,1.33617,0.493247,0.771077,0.674101,-1.41127,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
6,0.410933,0.39483,0.260817,0.338012,0.701528,1.13569,0.493247,-0.73648,-0.289481,0.790368,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,0.410933,0.39483,-0.958556,0.338012,0.375496,0.825136,0.493247,-0.931186,-0.334404,-0.0454756,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0